TSID,peer,parent,self,teacher
1052233022,27,31,28,25
1052233031,26,25,29,27
1052233041,28,26,31,27
1052233052,29,26,28,24
1052233062,32,26,30,23
1052233071,25,27,26,25
1052233081,30,20,23,28
1052233092,29,24,26,27
1052233101,18,22,29,23
1052236012,29,27,21,29
1052236022,29,26,28,28
1052236031,29,29,30,29
1052236041,28,31,27,27
1052236052,25,26,28,23
1052236062,29,26,23,26
1052236071,27,28,29,26
1052236081,28,25,28,25
1052236092,27,28,28,30
1052236101,16,25,31,20
1061043012,30,18,28,27
1061043022,30,20,27,31
1061043031,24,25,28,27
1061043041,13,20,26,23
1061043052,31,27,29,28
1061043062,31,23,32,29
1061043071,14,20,26,20
1061043081,16,19,17,16
1061043092,26,18,21,30
1061043101,19,22,29,26
1061046012,19,25,23,25
1061046022,15,17,23,24
1061046031,19,23,15,14
1061046041,22,25,24,12
1061046052,19,27,26,29
1061046062,14,25,25,26
1061046071,28,26,27,24
1061046081,20,26,28,28
1061046092,26,20,29,21
1061046101,17,19,24,20
1061053012,13,22,24,25
1061053022,7,21,23,29
1061053031,23,24,19,29
1061053041,27,26,23,21
1061053052,22,22,21,18
1061053062,25,27,20,21
1061053071,29,28,24,15
1061053081,16,11,21,22
1061053092,22,27,19,21
1061053101,12,26,25,19
1061056012,30,15,22,27
1061056022,23,28,25,31
1061056031,22,26,21,21
1061056041,21,23,22,24
1061056052,20,25,26,27
1061056062,22,22,20,25
1061056071,23,21,24,21
1061056081,21,25,19,22
1061056092,14,18,21,18
1061056101,23,25,30,26
1062083012,16,25,26,11
1062083022,5,15,21,22
1062083031,17,23,26,22
1062083041,28,24,29,22
1062083052,29,31,30,27
1062083062,29,25,26,26
1062083071,27,26,25,23
1062083081,26,19,30,18
1062083092,11,19,27,18
1062083101,28,28,29,28
1062086012,23,21,29,28
1062086022,24,27,29,28
1062086031,22,18,15,19
1062086041,11,20,28,14
1062086052,17,20,29,22
1062086062,12,18,24,20
1062086071,22,26,24,19
1062086081,9,22,27,17
1062086092,22,29,25,30
1062086101,13,21,19,14
1062093012,27,20,23,24
1062093022,29,24,29,20
1062093031,28,29,25,28
1062093041,23,30,19,31
1062093052,23,29,29,15
1062093062,30,25,22,29
1062093071,13,27,20,29
1062093081,22,26,25,13
1062093092,30,27,28,27
1062093101,27,27,29,15
1062096012,28,26,29,27
1062096022,26,30,22,28
1062096031,29,26,30,23
1062096041,30,17,27,26
1062096052,26,30,28,26
1062096062,14,24,29,25
1062096071,29,26,29,17
1062096081,28,16,28,25
1062096092,27,27,24,26
1062096101,22,26,31,21
1062103012,4,17,22,21
1062103022,29,20,20,20
1062103031,16,23,24,14
1062103041,30,26,25,29
1062103052,30,26,26,15
1062103062,25,15,29,20
1062103071,18,20,27,20
1062103081,21,24,25,23
1062103092,28,19,29,26
1062103101,27,20,25,20
1062106012,24,20,26,22
1062106022,21,22,15,23
1062106031,22,22,19,20
1062106041,26,22,23,26
1062106052,28,13,22,21
1062106062,24,24,24,26
1062106071,20,21,12,24
1062106081,26,28,22,28
1062106092,20,26,20,24
1062106101,27,24,22,27
1062113012,13,20,24,20
1062113022,21,28,27,19
1062113031,25,21,27,17
1062113041,25,28,29,13
1062113052,25,21,28,20
1062113062,25,30,30,23
1062113071,27,27,23,17
1062113081,26,25,29,21
1062113092,21,29,31,18
1062113101,16,19,19,10
1062116012,15,22,20,19
1062116022,29,29,27,26
1062116031,31,27,24,30
1062116041,25,24,21,25
1062116052,31,28,29,21
1062116062,29,29,30,26
1062116071,13,27,28,19
1062116081,15,27,26,28
1062116092,23,28,27,17
1062116101,16,30,23,14
1071283012,20,18,30,16
1071283022,27,24,29,14
1071283031,8,15,28,13
1071283041,29,18,25,9
1071283052,21,26,32,27
1071283062,29,22,22,22
1071283071,31,27,31,29
1071283081,22,19,29,23
1071283092,27,22,30,24
1071283101,30,19,28,24
1071286012,13,26,22,15
1071286022,26,25,22,21
1071286031,15,23,26,28
1071286041,11,24,29,7
1071286052,27,17,23,24
1071286062,20,26,28,12
1071286071,19,19,21,5
1071286081,20,27,30,18
1071286092,31,17,22,24
1071286101,18,18,16,12
1071293012,19,22,19,26
1071293022,27,21,21,19
1071293031,20,24,17,19
1071293041,28,20,23,22
1071293052,18,26,17,19
1071293062,26,13,17,14
1071293071,30,27,32,21
1071293081,16,21,14,16
1071293092,11,16,16,18
1071293101,7,15,9,11
1071296012,16,21,15,24
1071296022,15,22,14,28
1071296031,29,24,19,23
1071296041,15,18,23,5
1071296052,28,19,19,28
1071296062,26,23,31,19
1071296071,17,19,20,17
1071296081,21,29,16,21
1071296092,22,29,12,25
1071296101,20,13,13,10
1072353012,12,19,30,18
1072353022,26,15,23,16
1072353031,19,16,14,16
1072353041,13,12,11,14
1072353052,25,27,28,26
1072353062,21,16,26,12
1072353071,17,14,27,19
1072353081,13,23,28,17
